SKU,Name,Brand,Category,Price,Cost Price,Description,Image URL,Stock,Tags
"8436726236237","KIN GINGIVAL M/W","KIN","Personal Care","6.1","3.652","KIN GINGIVAL M/W - Premium quality beauty product","","100","Personal Care, KIN"
"8436726236262","KIN GINGIVAL T/P 75ML","KIN","Personal Care","5.95","3.833","KIN GINGIVAL T/P 75ML - Premium quality beauty product","","100","Personal Care, KIN"
"8436242623437","LILIUM IRON LINK ADULT (10 VIAL)","LILIUM","Personal Care","10.9","6.425","LILIUM IRON LINK ADULT (10 VIAL) - Premium quality beauty product","","100","Personal Care, LILIUM"
"8436242623427","LILIUM IRON LINK KIDS (10 VIAL)","LILIUM","Personal Care","10.9","6.834","LILIUM IRON LINK KIDS (10 VIAL) - Premium quality beauty product","","100","Personal Care, LILIUM"
"8436242622273","IRON FORT","IRON","Personal Care","18","10.61","IRON FORT - Premium quality beauty product","","100","Personal Care, IRON"
"8436242622272","YSANA GROWTH KIDS DRINKIBLE VIALS 10ML","YSANA","Personal Care","8","4.244","YSANA GROWTH KIDS DRINKIBLE VIALS 10ML - Premium quality beauty product","","100","Personal Care, YSANA"
"8436227776799","LA CABINE ENZYMATIC PINAPPLE 250ML","Generic","Personal Care","19","11.909","LA CABINE ENZYMATIC PINAPPLE 250ML - Premium quality beauty product","","100","Personal Care, Generic"
"8436227777324","LA CABINE NIACINAMIDE 15% SERUM 30ML","Generic","Skin Care","35","12.0685","LA CABINE NIACINAMIDE 15% SERUM 30ML - Premium quality beauty product","","100","Skin Care, Generic"
"8436264666932","SINGULADERM SPF 50+ NATURAL COLOR","SINGULADERM","Skin Care","22","14.757","SINGULADERM SPF 50+ NATURAL COLOR - Premium quality beauty product","","100","Skin Care, SINGULADERM, Sun Protection"
"8437734389449","BABE SUPER FLUID SUNBLOCK 50ML","BABE","Personal Care","19.75","13.388","BABE SUPER FLUID SUNBLOCK 50ML - Premium quality beauty product","","100","Personal Care, BABE, Sun Protection"
"8437736498783","EKSEPTION ALL DAY SHIELD 50ML","EKSEPTION","Personal Care","29","19.825","EKSEPTION ALL DAY SHIELD 50ML - Premium quality beauty product","","100","Personal Care, EKSEPTION"
"8437736272373","FORTIFERRUM P","FORTIFERRUM","Personal Care","13.61","8.62","FORTIFERRUM P - Premium quality beauty product","","100","Personal Care, FORTIFERRUM"
"8437724762732","THERAVEX ORAL MOUTH WASH 200ML","THERAVEX","Personal Care","14.95","9.373","THERAVEX ORAL MOUTH WASH 200ML - Premium quality beauty product","","100","Personal Care, THERAVEX"
"8477773892974","KIN SENSI GEL (15ML/15G)","KIN","Skin Care","6.5","4.072","KIN SENSI GEL (15ML/15G) - Premium quality beauty product","","100","Skin Care, KIN"
"8477773874363","KIN.BABY GEL TEETHING GEL(30ML/30G)","KIN.BABY","Skin Care","4.4","2.791","KIN.BABY GEL TEETHING GEL(30ML/30G) - Premium quality beauty product","","100","Skin Care, KIN.BABY"
"828229777276","HA SKIN PERFCTING LOTION","Generic","Skin Care","22.95","16.49","HA SKIN PERFCTING LOTION - Premium quality beauty product","","100","Skin Care, Generic"
"8292362277487","URINAL DRINK (12 SACHETS)","URINAL","Personal Care","16.9","8.68548","URINAL DRINK (12 SACHETS) - Premium quality beauty product","","100","Personal Care, URINAL"
"8676738677722","FLOBIAN (10 CAP)","FLOBIAN","Personal Care","6.75","4.75","FLOBIAN (10 CAP) - Premium quality beauty product","","100","Personal Care, FLOBIAN"
"8676377766728","LENY 200 COTTON BUDS","LENY","Personal Care","2","1.367","LENY 200 COTTON BUDS - Premium quality beauty product","","100","Personal Care, LENY"
"8687422273326","JOYCOO HIBISCUS MIX TEA","JOYCOO","Personal Care","2","0.00986","JOYCOO HIBISCUS MIX TEA - Premium quality beauty product","","100","Personal Care, JOYCOO"
"8687422273363","JOYCOO HERBAL ATOM CUBES","JOYCOO","Personal Care","2","0.00986","JOYCOO HERBAL ATOM CUBES - Premium quality beauty product","","100","Personal Care, JOYCOO"
"8687222327772","MINEADERM DEEP CLEANSING PURENESS GEL","MINEADERM","Skin Care","9.5","5.242","MINEADERM DEEP CLEANSING PURENESS GEL - Premium quality beauty product","","100","Skin Care, MINEADERM"
"8687922777724","MULTIVITAMIN MULTIBALL LOLLIPOP","MULTIVITAMIN","Health & Supplements","0.5","0.307","MULTIVITAMIN MULTIBALL LOLLIPOP - Premium quality beauty product","","100","Health & Supplements, MULTIVITAMIN"
"8687922777782","MULTIBALL LOLLIPOP SMALL SIZE 15PSC","MULTIBALL","Personal Care","7.5","3.92","MULTIBALL LOLLIPOP SMALL SIZE 15PSC - Premium quality beauty product","","100","Personal Care, MULTIBALL"
"8687992776793","JASMINE ISTANBUL DIFFUSER","JASMINE","Personal Care","5","3.418","JASMINE ISTANBUL DIFFUSER - Premium quality beauty product","","100","Personal Care, JASMINE"
"8687992776272","MAROTA LAVENDER","MAROTA","Personal Care","5","2.258","MAROTA LAVENDER - Premium quality beauty product","","100","Personal Care, MAROTA"
"8687992776628","MAROTO CHERRY","MAROTO","Personal Care","5","2.371","MAROTO CHERRY - Premium quality beauty product","","100","Personal Care, MAROTO"
"8687992776642","MAROTA GARDEN","MAROTA","Personal Care","5","2.371","MAROTA GARDEN - Premium quality beauty product","","100","Personal Care, MAROTA"
"8687992776629","MAROTA GUM","MAROTA","Personal Care","5","2.29567","MAROTA GUM - Premium quality beauty product","","100","Personal Care, MAROTA"
"8687992776673","MAROTA JASMINE","MAROTA","Personal Care","5","2.371","MAROTA JASMINE - Premium quality beauty product","","100","Personal Care, MAROTA"
"8687992776728","MAROTA PAPATYA ROSE","MAROTA","Personal Care","5","2.258","MAROTA PAPATYA ROSE - Premium quality beauty product","","100","Personal Care, MAROTA"
"8683344677723","MATCHA 30 CAP","MATCHA","Personal Care","16","8.48","MATCHA 30 CAP - Premium quality beauty product","","100","Personal Care, MATCHA"
"8683224673332","DEEP FRESH BABY CUTE BOY SHAMPOO","DEEP","Hair Care","4","1.75","DEEP FRESH BABY CUTE BOY SHAMPOO - Premium quality beauty product","","100","Hair Care, DEEP"
"8683224678368","DEEP FRESH MICELLAR 400 ML","DEEP","Personal Care","3.25","1.95","DEEP FRESH MICELLAR 400 ML - Premium quality beauty product","","100","Personal Care, DEEP"
